ProductSN:1923416031
Date&Time,,Voltage(V),UTHD(%),Current(A),ITHD(%),ITHD3(%),ITHD5(%),ITHD7(%),Frequency(Hz),Power Factor,Active Power(W),Reactive Power(Var),Apparent Power(Va),Active Energy(Wh),Reactive Energy(Varh),Apparent Energy(Vah),Current Demand(A),Current Peak Demand(A)&Date,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UA,UTHA,IA,ITHA,ITHXA,ITHYA,ITHZA,FA,PFA,PA,QA,SA,EPA,EQA,ESA,DmIA,PDmIA,PDmIA_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2024-10-25,17:34:40,213.98,74.828,7.64,5.000,2.000,3.000,4.000,50.02,0.799,1631.18,0.00,1633.13,149,32,293,0.00,1.82,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-10-25,17:35:40,212.49,74.828,7.61,0.000,0.000,0.000,0.000,49.92,0.997,1610.94,0.00,1616.16,176,33,320,0.00,1.82,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-10-25,17:36:40,222.05,74.828,0.50,1.000,6.000,3.000,2.000,50.00,0.000,0.00,0.00,0.00,194,33,338,0.00,1.82,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-10-25,17:37:40,221.50,74.828,0.00,0.000,0.000,0.000,0.000,49.99,0.000,0.00,0.00,0.00,194,33,338,0.00,1.82,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-10-25,17:38:40,221.47,74.828,0.00,0.000,0.000,0.000,0.000,50.01,0.000,0.00,0.00,0.00,194,33,338,0.00,1.82,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-10-25,17:39:40,221.43,74.828,0.00,0.000,0.000,0.000,0.000,49.99,0.000,0.00,0.00,0.00,194,33,338,0.00,1.82,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-10-25,17:40:40,213.75,74.828,5.61,0.000,0.000,0.000,0.000,50.02,0.929,1114.21,0.00,1199.07,201,35,345,2.98,2.99,2024-10-25 17:39:40,-9.50,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,620.05,1099.90,2024-10-22 21:26:54,
2024-10-25,17:41:40,210.29,74.828,5.75,0.000,0.000,0.000,0.000,50.01,0.952,1150.77,0.00,1208.21,220,41,366,3.35,3.35,2024-10-25 17:41:25,64.36,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,698.78,1099.90,2024-10-22 21:26:54,
2024-10-25,17:42:40,209.23,74.828,5.58,0.000,0.000,0.000,0.000,50.02,0.952,1109.64,0.00,1166.43,238,47,385,3.72,3.72,2024-10-25 17:42:25,139.15,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,777.48,1099.90,2024-10-22 21:26:54,
2024-10-25,17:43:40,216.73,74.828,7.00,2.000,5.000,6.000,6.000,50.04,0.600,0.00,0.00,0.00,246,49,394,3.98,3.98,2024-10-25 17:43:25,191.73,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,832.63,1099.90,2024-10-22 21:26:54,
2024-10-25,17:44:40,216.73,74.828,7.00,2.000,5.000,6.000,6.000,50.04,0.600,0.00,0.00,0.00,246,49,394,3.98,3.98,2024-10-25 17:43:25,191.73,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,832.63,1099.90,2024-10-22 21:26:54,
2024-10-25,17:45:40,216.73,74.828,7.00,2.000,5.000,6.000,6.000,50.04,0.600,0.00,0.00,0.00,246,49,394,3.98,3.98,2024-10-25 17:43:25,191.73,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,832.63,1099.90,2024-10-22 21:26:54,
2024-10-25,17:46:40,216.73,74.828,7.00,2.000,5.000,6.000,6.000,50.04,0.600,0.00,0.00,0.00,246,49,394,3.98,3.98,2024-10-25 17:43:25,191.73,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,832.63,1099.90,2024-10-22 21:26:54,
2024-10-25,17:47:40,216.73,74.828,7.00,2.000,5.000,6.000,6.000,50.04,0.600,0.00,0.00,0.00,246,49,394,3.98,3.98,2024-10-25 17:43:25,191.73,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,832.63,1099.90,2024-10-22 21:26:54,
2024-10-25,17:48:40,216.73,74.828,7.00,2.000,5.000,6.000,6.000,50.04,0.600,0.00,0.00,0.00,246,49,394,3.98,3.98,2024-10-25 17:43:25,191.73,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,832.63,1099.90,2024-10-22 21:26:54,

