ProductSN:1923416031
Date&Time,,Voltage(V),,,,UTHD(%),,,,Current(A),,,,ITHD(%),,,,ITHD3(%),,,ITHD5(%),,,ITHD7(%),,,Frequency(Hz),Power Factor,Active Power(W),Reactive Power(Var),Apparent Power(Va),Active Energy(Wh),Reactive Energy(Varh),Apparent Energy(Vah),Current Demand(A),,,,Current Peak Demand(A)&Date,,,,,,,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UAB,UBC,UCA,UAvg,UTHAB,UTHBC,UTHCA,UTHAvg,IA,IB,IC,IAvg,ITHA,ITHB,ITHC,ITHAvg,ITHXA,ITHXB,ITHXC,ITHYA,ITHYB,ITHYC,ITHZA,ITHZB,ITHZC,F,PF,PSum,QSum,SSum,EPSum,EQSum,ESSum,DmIA,DmIB,DmIC,DmIAVG,PDmIA,PDmIA_D/T,PDmIB,PDmIB_D/T,PDmIC,PDmIC_D/T,PDmIAVG,PDmIAVG_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2024-11-06,22:41:29,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.00,0.00,0.00,492,94,746,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-06,22:42:30,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.00,0.00,0.00,492,94,746,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-06,22:43:30,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.00,0.00,0.00,492,94,746,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-06,22:44:29,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.00,0.00,0.00,492,94,746,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-06,22:45:29,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.00,0.00,0.00,492,94,746,0.02,0.04,0.01,0.02,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-06,22:46:30,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.00,0.00,0.00,492,94,746,0.02,0.04,0.01,0.02,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,16:24:53,226.40,227.05,224.26,225.90,4.716,4.037,4.729,4.494,115.01,109.33,111.46,111.93,15.337,17.274,14.816,15.809,2.296,1.571,2.165,11.621,13.646,11.307,8.057,8.788,8.218,49.92,0.339,17160.96,47726.77,54412.24,234842,234680,345350,87.40,81.81,86.46,85.22,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,11343.42,97262.75,2024-11-07 13:17:53,55752.04,72597.27,2024-11-07 13:34:38,58208.38,122048.77,2024-11-07 13:17:53,
2024-11-07,16:25:53,226.40,227.05,224.26,225.90,4.916,4.123,3.997,4.345,113.70,109.51,112.07,111.76,15.201,16.797,14.870,15.623,2.425,1.566,2.054,11.420,13.319,11.214,7.891,8.874,8.124,49.94,0.338,17210.57,47522.40,54397.54,235130,235474,346258,89.51,83.85,88.42,87.26,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,11985.72,97262.75,2024-11-07 13:17:53,55372.03,72597.27,2024-11-07 13:34:38,58179.46,122048.77,2024-11-07 13:17:53,
2024-11-07,16:26:53,226.40,227.05,224.26,225.90,4.075,4.275,4.248,4.200,114.72,109.65,113.07,112.48,15.057,17.878,14.734,15.890,2.490,1.715,2.211,11.763,13.781,11.391,7.990,8.932,8.135,49.96,0.337,17194.25,48081.59,54823.40,235414,236270,347167,91.63,85.91,90.36,89.30,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,12613.62,97262.75,2024-11-07 13:17:53,54945.11,72597.27,2024-11-07 13:34:38,58109.64,122048.77,2024-11-07 13:17:53,
2024-11-07,16:27:52,226.40,227.05,224.26,225.90,5.497,5.772,5.024,5.431,109.73,102.56,107.28,106.52,15.986,17.978,16.143,16.702,2.568,2.955,2.399,12.010,14.015,12.006,8.172,8.783,8.238,49.96,0.296,14257.61,46602.65,52111.10,235666,237050,348051,93.52,87.90,92.16,91.19,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,13163.29,97262.75,2024-11-07 13:17:53,54470.21,72597.27,2024-11-07 13:34:38,57978.18,122048.77,2024-11-07 13:17:53,
2024-11-07,16:28:52,226.40,227.05,224.26,225.90,4.708,5.192,4.341,4.747,109.27,102.12,106.86,106.08,15.186,17.459,15.385,16.010,2.339,1.825,2.172,11.582,13.958,11.353,8.069,9.147,8.210,50.00,0.294,14249.13,46485.85,51859.35,235905,237827,348922,95.28,89.62,93.83,92.91,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,13629.11,97262.75,2024-11-07 13:17:53,53988.81,72597.27,2024-11-07 13:34:38,57778.82,122048.77,2024-11-07 13:17:53,
2024-11-07,16:29:53,226.40,227.05,224.26,225.90,4.184,4.172,4.107,4.155,109.50,102.40,107.32,106.41,15.217,17.210,14.801,15.743,2.544,1.892,2.239,11.677,13.899,11.265,8.081,9.166,8.392,50.03,0.289,14271.32,46828.42,52115.62,236142,238607,349788,97.05,91.26,95.48,94.59,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,14067.12,97262.75,2024-11-07 13:17:53,53498.78,72597.27,2024-11-07 13:34:38,57554.03,122048.77,2024-11-07 13:17:53,
2024-11-07,16:30:53,226.40,227.05,224.26,225.90,4.095,4.152,4.782,4.343,109.05,102.50,106.40,105.98,15.324,17.331,14.603,15.753,2.465,1.907,2.259,11.803,13.914,11.462,8.170,9.130,8.383,50.02,0.291,14174.71,46564.10,51843.52,236378,239384,350655,98.85,92.90,97.10,96.28,188.44,2024-11-07 13:17:53,184.81,2024-11-07 13:16:53,181.96,2024-11-07 13:17:38,185.06,2024-11-07 13:17:23,14487.49,97262.75,2024-11-07 13:17:53,53019.34,72597.27,2024-11-07 13:34:38,57330.84,122048.77,2024-11-07 13:17:53,
