ProductSN:1923416031
Date&Time,,Voltage(V),,,,UTHD(%),,,,Current(A),,,,ITHD(%),,,,ITHD3(%),,,ITHD5(%),,,ITHD7(%),,,Frequency(Hz),,,,Power Factor,,,,Active Power(W),,,,Reactive Power(Var),,,,Apparent Power(Va),,,,Active Energy(Wh),,,,Reactive Energy(Varh),,,,Apparent Energy(Vah),,,,Current Demand(A),,,,Current Peak Demand(A)&Date,,,,,,,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UA,UB,UC,UAvg,UTHA,UTHB,UTHC,UTHAvg,IA,IB,IC,IAvg,ITHA,ITHB,ITHC,ITHAvg,ITHXA,ITHXB,ITHXC,ITHYA,ITHYB,ITHYC,ITHZA,ITHZB,ITHZC,FA,FB,FC,FAvg,PFA,PFB,PFC,PFAvg,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA,EPB,EPC,EPSum,EQA,EQB,EQC,EQSum,ESA,ESB,ESC,ESSum,DmIA,DmIB,DmIC,DmIAVG,PDmIA,PDmIA_D/T,PDmIB,PDmIB_D/T,PDmIC,PDmIC_D/T,PDmIAVG,PDmIAVG_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2024-11-07,12:57:52,222.03,220.34,221.84,221.40,4.670,4.266,4.240,4.392,178.60,179.86,175.20,177.89,9.759,10.292,10.309,10.120,1.697,0.576,1.235,8.025,8.563,7.888,4.720,4.840,4.856,50.00,49.99,49.99,49.99,0.801,0.819,0.771,0.797,31772.35,32465.55,29974.07,94211.97,23376.39,22296.22,24499.36,70171.98,39644.29,39618.18,38854.48,118116.95,290,160,180,630,81,26,53,160,449,269,230,948,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,12:58:52,221.93,220.12,221.54,221.20,4.259,4.223,4.919,4.467,179.17,176.15,173.70,176.34,9.862,10.516,10.624,10.334,1.642,0.749,1.187,8.010,8.853,7.925,4.753,5.043,4.852,50.01,50.01,50.00,50.01,0.799,0.815,0.771,0.795,31766.47,31583.06,29666.64,93016.17,23580.60,22127.79,24316.56,70024.95,39751.34,38764.41,38470.68,116986.42,821,694,679,2194,472,395,457,1324,1111,922,876,2909,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,12:59:53,222.11,220.50,221.93,221.51,6.623,4.372,6.280,5.758,179.74,177.51,175.66,177.64,11.192,10.007,10.743,10.647,1.719,0.726,1.281,7.692,8.400,7.635,4.473,4.734,4.700,50.03,50.02,50.02,50.02,0.802,0.813,0.774,0.796,32000.15,31814.78,30156.84,93971.77,23593.34,22365.00,24266.89,70225.23,39910.60,39129.94,38973.28,118013.82,1355,1222,1177,3754,864,765,863,2492,1777,1571,1522,4870,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:00:53,222.42,220.73,222.05,221.74,4.823,4.157,5.577,4.852,181.10,178.51,175.97,178.53,10.401,10.263,10.175,10.280,1.685,0.852,1.391,7.972,8.663,7.874,4.593,4.869,4.764,50.01,50.01,50.00,50.01,0.791,0.805,0.763,0.786,31841.54,31708.38,29791.31,93341.23,24453.29,23129.71,25037.00,72620.01,40270.91,39392.99,39063.36,118727.25,1888,1752,1677,5317,1267,1148,1278,3693,2449,2228,2175,6852,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:01:53,222.17,220.29,221.63,221.36,3.928,4.805,4.224,4.319,184.15,180.84,177.58,180.86,9.737,10.755,9.504,9.999,1.716,0.879,1.480,8.018,8.597,7.789,4.653,4.915,4.808,49.97,49.97,49.96,49.97,0.793,0.811,0.765,0.790,32436.83,32293.23,30088.30,94818.36,24527.14,22915.87,25064.93,72507.94,40901.45,39825.09,39345.99,120072.53,2424,2285,2177,6886,1675,1531,1696,4902,3126,2888,2830,8844,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:02:53,221.99,220.10,221.68,221.26,3.932,4.587,4.370,4.296,183.33,179.11,177.69,180.04,9.662,10.926,9.337,9.975,1.530,0.785,1.332,7.948,8.682,7.735,4.709,4.972,4.784,49.98,49.97,49.98,49.98,0.797,0.810,0.764,0.790,32409.41,31938.79,30090.91,94439.13,24314.27,22752.17,25301.98,72368.42,40687.35,39411.26,39379.93,119478.55,2965,2822,2679,8466,2082,1911,2112,6105,3806,3549,3485,10840,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:03:52,221.56,219.49,221.04,220.70,3.934,3.947,5.164,4.348,191.90,186.73,184.51,187.72,19.851,9.260,8.950,12.687,1.373,0.693,1.157,7.392,7.513,6.857,4.140,3.922,3.846,50.02,50.02,50.01,50.02,0.799,0.817,0.768,0.795,33978.58,33470.10,31299.77,98748.46,25607.30,23139.51,25637.69,74384.52,42506.52,40975.21,40772.86,124254.58,3626,3476,3300,10402,2496,2297,2539,7332,4591,4313,4243,13147,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:04:52,221.21,219.28,220.84,220.44,4.953,4.276,4.846,4.692,188.88,184.44,182.68,185.33,9.276,10.723,9.904,9.968,1.551,0.758,1.382,7.603,8.327,7.589,4.363,4.657,4.511,50.01,50.02,50.02,50.02,0.796,0.810,0.764,0.790,33233.81,32769.07,30801.08,96803.97,25148.74,23412.17,25783.58,74344.48,41770.23,40432.14,40330.31,122532.69,4192,4034,3822,12048,2917,2688,2969,8574,5299,4998,4923,15220,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
2024-11-07,13:05:53,221.22,219.32,220.85,220.46,3.942,4.471,4.201,4.205,189.41,185.06,183.29,185.92,9.633,10.120,9.595,9.783,1.462,0.809,1.276,7.773,8.462,7.732,4.458,4.803,4.669,49.94,49.94,49.93,49.94,0.796,0.810,0.764,0.790,33336.29,32883.95,30919.88,97140.13,25120.48,23485.03,25827.52,74433.03,41890.34,40577.70,40467.38,122935.41,4747,4582,4336,13665,3335,3079,3400,9814,5997,5674,5596,17267,0.00,0.00,0.00,0.00,3.99,2024-10-25 17:43:40,1.68,2024-10-22 21:26:54,1.66,2024-10-22 21:26:54,1.72,2024-10-22 21:26:54,0.00,934.35,2024-10-22 21:26:54,0.00,223.08,2024-10-22 21:26:24,0.00,1099.90,2024-10-22 21:26:54,
